cik,ticker,fiscal_year,prev_fiscal_year,report_date,filing_date,prev_filing_date,accession,prev_accession,cos_full,jac_full,len_full,cos_1a,jac_1a,len_1a,cos_7,jac_7,len_7
0000320193,AAPL,2008,2007,2008-09-27,2008-11-05,2007-11-15,0001193125-08-224958,0001047469-07-009340,0.993139,0.814440,353854,0.994714,0.845730,50239,0.989910,0.817081,66677
0000320193,AAPL,2009,2008,2009-09-26,2009-10-27,2008-11-05,0001193125-09-214859,0001193125-08-224958,0.996959,0.830266,357982,0.994470,0.912775,52191,0.991619,0.807261,68965
0000320193,AAPL,2010,2009,2010-09-25,2010-10-27,2009-10-27,0001193125-10-238044,0001193125-09-214859,0.990604,0.781267,315946,0.995888,0.938472,51709,0.981949,0.790148,62455
0000320193,AAPL,2011,2010,2011-09-24,2011-10-26,2010-10-27,0001193125-11-282113,0001193125-10-238044,0.995742,0.836045,283076,0.987542,0.765718,51288,0.986362,0.830312,59284
0000320193,AAPL,2012,2011,2012-09-29,2012-10-31,2011-10-26,0001193125-12-444068,0001193125-11-282113,0.997920,0.907687,283958,0.993325,0.939662,48823,0.992849,0.839497,61081
0000320193,AAPL,2013,2012,2013-09-28,2013-10-30,2012-10-31,0001193125-13-416534,0001193125-12-444068,0.997018,0.904746,294302,0.997908,0.946715,51122,0.980651,0.830838,61679
0000320193,AAPL,2014,2013,2014-09-27,2014-10-27,2013-10-30,0001193125-14-383437,0001193125-13-416534,0.996631,0.913892,311555,0.997638,0.969042,53432,0.991124,0.888547,64021
0000320193,AAPL,2015,2014,2015-09-26,2015-10-28,2014-10-27,0001193125-15-356351,0001193125-14-383437,0.996202,0.917821,299694,0.999671,0.988497,53873,0.981709,0.875569,58694
0000320193,AAPL,2016,2015,2016-09-24,2016-10-26,2015-10-28,0001628280-16-020309,0001193125-15-356351,0.998359,0.930533,294153,0.998785,0.964950,52676,0.986452,0.862983,59105
0000320193,AAPL,2017,2016,2017-09-30,2017-11-03,2016-10-26,0000320193-17-000070,0001628280-16-020309,0.999385,0.937061,301265,0.998158,0.930961,53520,0.995387,0.914219,60822
0000320193,AAPL,2018,2017,2018-09-29,2018-11-05,2017-11-03,0000320193-18-000145,0000320193-17-000070,0.998020,0.877712,283593,0.995045,0.901975,55758,0.993768,0.853343,57621
0000320193,AAPL,2019,2018,2019-09-28,2019-10-31,2018-11-05,0000320193-19-000119,0000320193-18-000145,0.995134,0.831801,239498,0.997713,0.943642,55288,0.975173,0.675262,34056
0000320193,AAPL,2020,2019,2020-09-26,2020-10-30,2019-10-31,0000320193-20-000096,0000320193-19-000119,0.998264,0.925206,244830,0.996895,0.939351,61331,0.988137,0.767302,32108
0000320193,AAPL,2021,2020,2021-09-25,2021-10-29,2020-10-30,0000320193-21-000105,0000320193-20-000096,0.997453,0.868198,224383,0.994831,0.911274,67133,0.966742,0.585005,18833
0000320193,AAPL,2022,2021,2022-09-24,2022-10-28,2021-10-29,0000320193-22-000108,0000320193-21-000105,0.998931,0.903888,216707,0.998334,0.953795,71307,0.968643,0.775449,17656
0000320193,AAPL,2023,2022,2023-09-30,2023-11-03,2022-10-28,0000320193-23-000106,0000320193-22-000108,0.998634,0.906088,201586,0.998282,0.939255,68372,0.961626,0.696000,15588
0000320193,AAPL,2024,2023,2024-09-28,2024-11-01,2023-11-03,0000320193-24-000123,0000320193-23-000106,0.998098,0.918717,205392,0.996458,0.944591,69278,0.958950,0.791958,15462
0000320193,AAPL,2025,2024,2025-09-27,2025-10-31,2024-11-01,0000320193-25-000079,0000320193-24-000123,0.998150,0.908160,207845,0.994158,0.864662,68571,0.966933,0.740798,18150
0001551152,ABBV,2013,2012,2013-12-31,2014-02-21,2013-03-15,0001047469-14-001154,0001047469-13-002827,0.997700,0.898476,344621,0.999037,0.861047,58306,0.997995,0.840199,39111
0001551152,ABBV,2014,2013,2014-12-31,2015-02-20,2014-02-21,0001047469-15-000995,0001047469-14-001154,0.997888,0.895361,355818,0.997746,0.924142,52629,0.998576,0.931091,36603
0001551152,ABBV,2015,2014,2015-12-31,2016-02-19,2015-02-20,0001047469-16-010239,0001047469-15-000995,0.990962,0.864662,370767,0.994644,0.921488,47901,0.994062,0.794618,46440
0001551152,ABBV,2016,2015,2016-12-31,2017-02-17,2016-02-19,0001551152-17-000004,0001047469-16-010239,0.995883,0.890645,380324,0.999701,0.970630,48077,0.999646,0.964589,46812
0001551152,ABBV,2017,2016,2017-12-31,2018-02-16,2017-02-17,0001551152-18-000014,0001551152-17-000004,0.998279,0.901725,370695,0.999823,0.990587,47655,0.999766,0.986390,46201
